frame,ball_x,ball_y,player11_x1,player11_y1,player11_x2,player11_y2,player12_x1,player12_y1,player12_x2,player12_y2,player21_x1,player21_y1,player21_x2,player21_y2,player22_x1,player22_y1,player22_x2,player22_y2,shot_made,shot_player,shot_type
92,1439.0,505.0,813.1,142.3,890.6,231.0,1066.3,90.9,1131.4,176.8,446.7,654.0,592.1,789.3,1358.2,603.5,1512.7,831.0,False,,
93,1423.0,452.0,815.3,141.8,896.2,231.2,1068.7,91.1,1132.3,177.8,446.6,653.9,589.0,789.1,1357.5,598.0,1506.8,830.4,False,,
94,1406.0,404.0,817.1,142.2,903.0,231.4,1070.8,90.0,1132.2,177.9,446.4,652.5,611.5,793.6,1357.6,584.7,1501.2,830.8,False,,
95,1389.0,362.0,818.5,142.3,907.1,230.0,1070.7,89.5,1132.4,177.3,446.1,651.2,623.0,807.9,1357.4,580.9,1495.2,830.9,False,,
96,1375.0,326.0,819.2,141.9,912.6,230.5,1067.9,90.6,1132.0,177.6,445.7,650.7,629.4,817.5,1354.7,580.8,1488.7,830.2,False,,
97,nan,nan,819.5,140.9,916.8,230.8,1066.9,92.4,1131.5,177.8,445.7,650.7,630.7,819.4,1349.5,583.2,1484.3,829.3,False,,
98,nan,nan,819.3,140.2,919.9,230.9,1066.7,93.7,1134.1,177.3,446.3,650.5,626.7,807.4,1347.8,590.3,1479.5,828.0,False,,
99,nan,nan,818.8,139.7,920.9,230.7,1066.3,96.6,1138.2,177.6,447.1,650.3,632.4,819.7,1341.9,594.6,1474.5,827.0,False,,
100,nan,nan,818.8,137.6,920.9,230.7,1065.8,101.7,1145.5,177.8,447.4,650.2,622.5,804.6,1339.6,595.9,1469.1,826.9,False,,
101,nan,nan,819.3,135.8,921.2,230.4,1065.1,103.7,1153.0,177.6,448.0,650.0,622.1,800.3,1335.1,591.9,1465.0,827.0,False,,
102,nan,nan,820.4,134.6,921.8,230.2,1064.1,105.1,1160.2,178.2,448.6,650.1,624.8,817.9,1331.5,587.7,1462.6,826.9,False,,
103,nan,nan,823.2,132.3,921.5,229.5,1064.6,105.2,1165.9,178.3,450.4,650.2,622.0,803.4,1331.4,581.1,1461.6,822.3,False,,
104,nan,nan,826.3,130.0,921.5,228.1,1064.2,105.2,1169.4,178.8,452.0,650.4,616.7,796.7,1333.9,574.7,1461.1,816.8,False,,
105,nan,nan,830.1,128.3,920.9,227.2,1065.3,106.6,1178.4,178.4,453.8,651.5,605.1,791.3,1337.0,566.2,1460.8,808.5,False,,
106,1446.0,597.0,835.7,127.4,920.7,224.2,1068.1,106.6,1196.0,177.8,454.7,652.1,617.5,821.8,1342.8,557.1,1460.8,786.2,False,,
107,1267.0,165.0,840.9,125.3,919.9,222.3,1073.2,107.1,1212.6,178.1,456.8,653.9,611.6,829.5,1349.4,547.8,1460.7,776.9,False,,
108,1265.0,163.0,846.7,124.1,919.0,222.5,1079.7,107.8,1226.7,178.5,458.5,653.9,598.1,800.7,1352.3,537.0,1460.7,761.8,False,,
109,1259.0,163.0,851.6,123.6,919.5,222.4,1088.6,108.0,1242.3,179.1,460.5,654.0,602.8,788.2,1351.5,526.0,1462.0,746.6,False,,
110,1244.8461538461538,161.53846153846155,853.9,122.7,919.5,222.1,1099.5,109.7,1223.7,178.7,463.0,652.6,625.1,843.6,1346.3,517.2,1464.3,730.1,False,,
111,1230.6923076923076,160.07692307692307,854.5,122.3,919.6,221.9,1131.6,111.1,1247.5,178.0,464.9,653.5,632.1,810.2,1342.5,509.1,1465.1,714.9,False,,
112,1216.5384615384614,158.6153846153846,854.1,122.4,918.3,221.7,1137.9,111.9,1257.3,177.5,466.6,653.8,628.5,785.7,1328.2,503.0,1463.3,706.5,False,,
113,1202.3846153846155,157.15384615384616,852.1,122.4,918.3,221.8,1147.4,112.7,1259.7,179.5,468.6,653.5,632.9,786.2,1308.6,498.9,1459.1,695.3,False,,
114,1188.2307692307693,155.69230769230768,850.6,122.4,916.9,221.6,1153.3,111.2,1260.6,180.7,472.3,653.9,633.7,842.1,1290.1,496.1,1454.3,684.7,False,,
115,1174.076923076923,154.23076923076923,849.1,122.4,916.6,221.5,1156.7,110.2,1261.3,181.7,475.2,653.7,637.2,841.9,1273.1,495.4,1449.7,676.8,False,,
116,1159.923076923077,152.76923076923077,848.0,122.6,915.7,221.7,1161.1,108.9,1266.0,184.2,477.2,652.2,625.4,786.2,1261.4,496.6,1444.5,675.1,False,,
117,1145.7692307692307,151.30769230769232,846.0,122.8,913.7,221.7,1166.3,108.0,1272.5,185.0,479.1,651.0,623.3,785.7,1255.5,496.6,1439.6,674.5,False,,
118,1131.6153846153845,149.84615384615384,845.7,122.9,908.6,221.8,1199.4,109.5,1278.0,185.1,480.5,649.1,622.5,786.1,1250.7,495.9,1431.6,674.7,False,,
119,1117.4615384615386,148.3846153846154,845.0,122.1,901.8,222.2,1216.3,110.4,1279.6,185.2,483.1,646.9,628.9,807.7,1245.0,493.4,1422.3,674.3,False,,
120,1103.3076923076924,146.92307692307693,844.4,121.8,895.2,221.4,1225.2,110.1,1285.6,185.5,486.4,646.0,634.5,785.3,1241.0,489.4,1417.8,674.9,False,,
121,1089.1538461538462,145.46153846153845,842.7,122.0,892.3,220.8,1231.3,109.8,1298.1,185.6,490.2,645.8,631.5,787.6,1240.2,483.2,1414.1,669.2,False,,
122,1075.0,144.0,840.5,122.3,889.5,220.3,1236.9,108.4,1299.0,185.1,496.5,645.4,642.7,804.8,1238.8,476.5,1410.6,660.3,False,,
123,1055.5,149.5,837.9,122.3,888.2,220.8,1242.0,106.9,1305.3,185.6,500.6,648.2,653.9,788.8,1240.0,470.3,1403.3,652.0,False,,
124,1036.0,155.0,835.1,122.2,885.9,221.2,1242.8,105.9,1306.2,188.0,503.3,648.4,679.5,824.8,1239.7,463.6,1395.0,647.1,False,,
125,1013.0,160.0,831.1,120.4,882.0,221.3,1243.1,106.5,1305.9,188.8,502.2,649.7,683.2,825.4,1239.4,457.4,1390.2,642.3,False,,
126,990.0,169.0,827.8,118.7,879.1,221.7,1242.7,105.7,1305.9,188.4,494.1,650.4,655.1,790.5,1239.5,452.0,1385.7,639.7,False,,
